image_name,predicted_class,classification_confidence,melanoma_probability,not_melanoma_probability,classification_correct,decision_margin,analysis_performed,asymmetry_score,asymmetry_risk,border_irregularity,border_risk,color_variation,color_risk,texture_contrast,texture_homogeneity,texture_energy,texture_correlation,texture_risk,overall_risk_score,risk_level,segmentation_quality,lesion_area_pixels
IMD002.jpg,MELANOMA,0.8813359141349792,0.8813359,0.11866407,True,0.7626718,True,0.2975183744491252,1.0,18.327159808324268,1.0,4.0,0.75,76.62969779472644,0.28475377898507814,0.02260398489673622,0.9801128376177431,0.3831484889736322,0.783287122243408,HIGH,0.0,98898.0
IMD004.jpg,MELANOMA,0.8403138518333435,0.84031385,0.15968615,True,0.6806277,True,0.24624617361660942,1.0,7.122164313486793,1.0,5.0,1.0,77.19505854664955,0.24237445907186306,0.01948488488052031,0.9851148586567712,0.38597529273324777,0.8464938231833119,HIGH,0.0,84400.0
IMD006.jpg,NOT_MELANOMA,0.5280395746231079,0.47196037,0.5280396,False,0.05607921,False,,,,,,,,,,,,,,,
IMD008.jpg,NOT_MELANOMA,0.8579843044281006,0.14201564,0.8579843,False,0.71596867,False,,,,,,,,,,,,,,,
IMD009.jpg,MELANOMA,0.9925381541252136,0.99253815,0.007461844,True,0.9850763,True,0.2701058122602988,1.0,7.131833822167677,1.0,3.0,0.5,73.53580347383689,0.35765333263388316,0.02833260754275667,0.984663551716337,0.36767901736918446,0.7169197543422962,HIGH,0.0,32193.0
IMD015.jpg,NOT_MELANOMA,0.9286308884620667,0.071369104,0.9286309,False,0.8572618,False,,,,,,,,,,,,,,,
IMD016.jpg,MELANOMA,0.687986433506012,0.68798643,0.3120136,True,0.37597284,True,0.3410207816899436,1.0,44.59071369724339,1.0,6.0,1.0,152.8931623358649,0.3022297548510298,0.027052382495545865,0.9568051788418303,0.7644658116793245,0.9411164529198311,HIGH,0.0,118355.0
IMD017.jpg,MELANOMA,0.9999880790710449,0.9999881,1.1972073e-05,True,0.9999761,True,0.30181057328249333,1.0,4.57111695816615,0.71422339163323,4.0,0.75,78.46730547884404,0.254987043132658,0.02045495240313851,0.9859280338581223,0.3923365273942202,0.7141399797568625,HIGH,0.0,116676.0
IMD018.jpg,MELANOMA,0.9791210889816284,0.9791211,0.020878982,True,0.9582421,True,0.07832778887214713,0.7832778887214713,45.56410755135983,1.0,5.0,1.0,99.88610347816119,0.25038225105082845,0.026851218898068126,0.9777510052651488,0.49943051739080596,0.8206771015280694,HIGH,0.0,128680.0
IMD019.jpg,MELANOMA,0.807890772819519,0.8078908,0.19210918,True,0.6157816,True,0.39187651461890854,1.0,7.359182368782529,1.0,6.0,1.0,80.07862358579511,0.28609089640903634,0.034769167088155806,0.986727971872965,0.4003931179289756,0.8500982794822439,HIGH,0.0,38409.0
IMD020.jpg,NOT_MELANOMA,0.9545027017593384,0.045497295,0.9545027,False,0.9090054,False,,,,,,,,,,,,,,,
IMD021.jpg,MELANOMA,0.9700137376785278,0.97001374,0.0299863,True,0.9400274,True,0.39328821101862116,1.0,18.565505295525014,1.0,4.0,0.75,60.73115060222375,0.30344373089944854,0.028109812757753188,0.9799632291521593,0.30365575301111875,0.7634139382527797,HIGH,0.0,88861.0
IMD022.jpg,MELANOMA,0.9991574287414551,0.9991574,0.00084252865,True,0.9983149,True,0.10706690733739006,1.0,17.514974283732204,1.0,4.0,0.75,50.90321723308108,0.3345668178880448,0.029258706806107898,0.9827777057398256,0.2545160861654054,0.7511290215413513,HIGH,0.0,121938.0
IMD023.jpg,MELANOMA,0.8616438508033752,0.86164385,0.13835612,True,0.7232877,True,0.24681582211140926,1.0,25.605293261573923,1.0,4.0,0.75,42.11559027282347,0.3701205658100173,0.04099264334374019,0.9808276221462068,0.21057795136411733,0.7401444878410294,HIGH,0.0,80116.0
IMD024.jpg,MELANOMA,0.9566389322280884,0.95663893,0.0433611,True,0.9132778,True,0.11227224429350624,1.0,33.39189286390531,1.0,5.0,1.0,66.02133901979316,0.2877035121480453,0.027552125365879383,0.981095326869442,0.3301066950989658,0.8325266737747414,HIGH,0.0,94223.0
IMD025.jpg,MELANOMA,0.6185917854309082,0.6185918,0.38140818,True,0.2371836,True,0.05725601785445056,0.5725601785445056,45.45316645596199,1.0,5.0,1.0,123.28196784532842,0.2973424042461023,0.03053821205451875,0.9519978957011297,0.6164098392266422,0.7972425044427869,HIGH,0.0,129034.0
IMD027.jpg,NOT_MELANOMA,0.99813312292099,0.0018668576,0.9981331,False,0.99626625,False,,,,,,,,,,,,,,,
IMD030.jpg,MELANOMA,0.9779835343360901,0.97798353,0.022016425,True,0.9559671,True,0.2029395205740432,1.0,17.41118583055978,1.0,4.0,0.75,90.14120128122914,0.2691268001992613,0.021085794336785854,0.9678417257025494,0.4507060064061457,0.8001765016015364,HIGH,0.0,126595.0
IMD033.jpg,MELANOMA,0.5725711584091187,0.57257116,0.4274288,True,0.14514235,True,0.6124239968157931,1.0,12.883368735860842,1.0,5.0,1.0,67.29132647256877,0.30773933863696973,0.02407509356779769,0.9815545902510063,0.33645663236284384,0.834114158090711,HIGH,0.0,124859.0
